"filename", "language", "Dart", "Markdown", "YAML", "C++", "CMake", "HTML", "Swift", "JSON", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"d:\uber\flutter-clean-architecture-uber\lib\domain\use_cases\personal_info\get_user_info.dart", "Dart", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -15
"d:\uber\flutter-clean-architecture-uber\lib\generated\assets.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\uber\flutter-clean-architecture-uber\lib\main.dart", "Dart", -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -29
"d:\uber\flutter-clean-architecture-uber\lib\presentation\common_widgets\custom_circulars_progress.dart", "Dart", -41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -48
"d:\uber\flutter-clean-architecture-uber\lib\presentation\common_widgets\custom_elevated_button.dart", "Dart", -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -41
"d:\uber\flutter-clean-architecture-uber\lib\presentation\common_widgets\custom_google_map.dart", "Dart", -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -46
"d:\uber\flutter-clean-architecture-uber\lib\presentation\common_widgets\custom_outlined_button.dart", "Dart", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -34
"d:\uber\flutter-clean-architecture-uber\lib\presentation\common_widgets\text_field\custom_text_field.dart", "Dart", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -51
"d:\uber\flutter-clean-architecture-uber\lib\presentation\common_widgets\text_field\mobile_phone_text_field.dart", "Dart", -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -40
"d:\uber\flutter-clean-architecture-uber\lib\presentation\cubit\firebaseAuthCubit\firebase_auth_cubit.dart", "Dart", -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -48
"d:\uber\flutter-clean-architecture-uber\lib\presentation\cubit\firebaseAuthCubit\firebase_auth_state.dart", "Dart", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -29
"d:\uber\flutter-clean-architecture-uber\lib\presentation\cubit\personal_info_cubit\personal_info_cubit_cubit.dart", "Dart", -31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -37
"d:\uber\flutter-clean-architecture-uber\lib\presentation\cubit\personal_info_cubit\personal_info_cubit_state.dart", "Dart", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -30
"d:\uber\flutter-clean-architecture-uber\lib\presentation\layouts\base_layout.dart", "Dart", -59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -68
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\home\home_page.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\logic\map_logic.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\logic\map_page_logic.dart", "Dart", -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -40
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\logic\search_destination\search_destination_logic.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\view\initial_map\initial_map_page.dart", "Dart", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 130
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\view\map_page.dart", "Dart", -130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -13, -158
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\view\search_destination\search_destination_page.dart", "Dart", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 259
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\map_widgets\circle_with_box_shadow.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\map_widgets\location_icon.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\search_text_field.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\type_of_register\type_of_register.dart", "Dart", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\uber\flutter-clean-architecture-uber\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, -75, 0, 0, 0, 0, 0, 0, -38, -26, -139
