"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\cubit\personal_info_cubit\personal_info_cubit_cubit.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\cubit\personal_info_cubit\personal_info_cubit_state.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 11, 32
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\layouts\base_layout.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 9, 68
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\account\account_page.dart", "Dart", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 2, 13, 211
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\activity\activity_page.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\home\home_page.dart", "Dart", 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 21, 235
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\logic\map_logic.dart", "Dart", 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 1, 24, 150
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\logic\search_destination\appearance_of_search_list_logic.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 3, 13, 79
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\logic\search_destination\search_destination_logic.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 12, 74
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\view\initial_map\initial_map_page.dart", "Dart", 0, 0, 0, 0, 0, 354, 0, 0, 0, 0, 4, 23, 381
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\pages\map\widgets\map_widgets\circle_with_box_shadow.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
